,W43_M1,W43_M1adj,W27_M1,W27_M1adj,W28_M1,W28_M1adj,W26_M1,W26_M1adj,W31_M1,W31_M1adj,W42_M1,W42_M1adj,W24_M1.1,W24_M1adj.1,W25_M1.2,W25_M1adj.2,W23_M1,W23_M1adj,W22_M1,W22_M1adj,W41_M1,W41_M1adj,W39_M1,W39_M1adj,W39_M2,W39_M2adj,W50_M1,W50_M1adj,W50_M2,W50_M2adj,W34_M1,W34_M1adj,W45_M1,W45_M1adj,W49_M1,W49_M1adj,W35_M1,W35_M1adj,W35_M2,W35_M2adj,W36_M1,W36_M1adj,W47_M1,W47_M1adj,W32_M1,W32_M1adj,W32_M2,W32_M2adj,W33_M1,W33_M1adj,W46_M1,W46_M1adj,W29_M1,W29_M1adj,W30_M1,W30_M1adj,W44_M1,W44_M1adj,W44_M2,W44_M2adj,W30_M2,W30_M2adj,W25_M2,W25_M2adj,W48_M1,W48_M1adj,W41_M2,W41_M2adj,W47_M2,W47_M2adj,W31_M2,W31_M2adj
1153,,,,,,,,,,,,,,,,,6.88,,6.88,,13.76,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,,,,,,,,,,,,,,,,,13.76,,13.76,,48.159,48.159,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155,,,,,,,,,,,,,,,,,130.718,130.718,6.88,,6.88,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,,,,,,,,,,,,,,,,,756.786,756.786,20.64,,6.88,,,,,,,,,,1059.5,1059.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1157,,,,,,,,,,,,,,,,,13.76,,6.88,,6.88,,,,,,,,,,34.399,34.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,,,,,,,,,,,,,,,,,13.76,,20.64,,6.88,,,,,,,,,,103.198,103.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,,,,,,,,,,,,,,,,,96.318,96.318,6.88,,68.799,68.799,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1160,,,,,,,,,,,,,,,,,13.76,,6.88,,6.88,,,,,,,,,,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,,,,,,,,,,,,,,,,,6.88,,13.76,,13.76,,,,,,,,,,13.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,,,,,,,,,,,,,,,,,6.88,,20.64,,13.76,,,,,,,,,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
